iter	Passed	Remaining
0	26	26362
1	53	26829
2	78	26184
3	103	25784
4	130	25883
5	156	25916
6	182	25938
7	208	25831
8	235	25980
9	262	26005
10	289	26047
11	315	26005
12	339	25805
13	365	25734
14	391	25688
15	417	25698
16	443	25650
17	469	25632
18	496	25647
19	524	25685
20	551	25695
21	577	25675
22	605	25702
23	630	25620
24	656	25601
25	683	25592
26	710	25614
27	736	25552
28	762	25516
29	789	25532
30	816	25514
31	842	25491
32	869	25471
33	896	25474
34	924	25477
35	951	25487
36	978	25480
37	1005	25467
38	1033	25457
39	1060	25443
40	1085	25381
41	1111	25354
42	1137	25313
43	1164	25301
44	1191	25292
45	1217	25259
46	1244	25242
47	1273	25252
48	1302	25269
49	1330	25287
50	1358	25287
51	1386	25283
52	1414	25280
53	1442	25263
54	1470	25271
55	1498	25265
56	1528	25284
57	1556	25286
58	1584	25273
59	1612	25263
60	1638	25229
61	1665	25198
62	1692	25174
63	1719	25149
64	1745	25115
65	1772	25078
66	1800	25067
67	1828	25059
68	1856	25046
69	1884	25031
70	1911	25013
71	1939	24994
72	1966	24970
73	1995	24968
74	2022	24941
75	2049	24912
76	2076	24885
77	2103	24862
78	2129	24827
79	2157	24806
80	2184	24784
81	2211	24757
82	2238	24732
83	2265	24706
84	2292	24672
85	2319	24648
86	2345	24613
87	2370	24570
88	2396	24531
89	2423	24506
90	2452	24494
91	2478	24460
92	2503	24418
93	2530	24393
94	2557	24360
95	2583	24328
96	2610	24298
97	2637	24276
98	2665	24259
99	2691	24225
100	2718	24196
101	2744	24160
102	2771	24135
103	2797	24102
104	2823	24070
105	2850	24042
106	2877	24017
107	2905	23996
108	2930	23958
109	2959	23941
110	2986	23918
111	3012	23887
112	3041	23871
113	3068	23845
114	3095	23822
115	3124	23809
116	3151	23783
117	3180	23772
118	3209	23759
119	3238	23749
120	3266	23729
121	3294	23712
122	3323	23696
123	3351	23676
124	3380	23662
125	3407	23636
126	3433	23604
127	3460	23574
128	3489	23558
129	3517	23540
130	3543	23508
131	3571	23482
132	3599	23462
133	3626	23439
134	3654	23414
135	3681	23386
136	3708	23358
137	3735	23332
138	3764	23315
139	3791	23293
140	3820	23274
141	3849	23258
142	3876	23233
143	3905	23213
144	3933	23193
145	3962	23175
146	3989	23150
147	4017	23125
148	4045	23107
149	4074	23090
150	4101	23060
151	4129	23040
152	4155	23002
153	4183	22984
154	4210	22956
155	4237	22926
156	4263	22892
157	4288	22855
158	4316	22833
159	4344	22806
160	4371	22782
161	4399	22756
162	4428	22741
163	4455	22713
164	4483	22691
165	4513	22674
166	4542	22656
167	4571	22641
168	4600	22621
169	4628	22598
170	4655	22570
171	4682	22543
172	4710	22519
173	4737	22491
174	4765	22465
175	4791	22432
176	4817	22399
177	4844	22370
178	4872	22346
179	4900	22325
180	4927	22297
181	4955	22271
182	4982	22246
183	5010	22218
184	5036	22189
185	5063	22159
186	5092	22137
187	5119	22113
188	5146	22082
189	5174	22058
190	5201	22032
191	5229	22007
192	5257	21984
193	5284	21956
194	5312	21931
195	5339	21902
196	5367	21880
197	5397	21860
198	5423	21831
199	5451	21804
200	5477	21771
201	5503	21740
202	5529	21711
203	5556	21681
204	5582	21648
205	5609	21619
206	5634	21586
207	5661	21556
208	5687	21524
209	5715	21500
210	5743	21476
211	5769	21446
212	5797	21419
213	5824	21393
214	5851	21365
215	5879	21341
216	5907	21316
217	5934	21288
218	5962	21264
219	5989	21234
220	6015	21205
221	6042	21177
222	6069	21149
223	6097	21122
224	6125	21097
225	6153	21073
226	6179	21042
227	6205	21011
228	6231	20981
229	6257	20948
230	6282	20915
231	6308	20884
232	6335	20853
233	6361	20824
234	6387	20794
235	6414	20765
236	6440	20735
237	6467	20706
238	6499	20693
239	6531	20682
240	6563	20671
241	6595	20658
242	6627	20647
243	6662	20642
244	6695	20632
245	6728	20622
246	6760	20611
247	6792	20597
248	6824	20583
249	6857	20572
